word,sentiment
gerombol,neutral
nabokin,neutral
berkelliling,neutral
mmbatalkan,neutral
basah,neutral
undercover,neutral
pt,neutral
bermiyrabdg,neutral
olok,neutral
swadaya,neutral
nunjukkin,neutral
piye,neutral
informasi,neutral
much,neutral
armed,neutral
pemkot,neutral
bener,neutral
bijaksana,neutral
bliyo,neutral
sore,neutral
makanbergizigratis,neutral
salahsatu,neutral
hgu,neutral
paper,neutral
fitnah,neutral
dpd,neutral
rekayasa,neutral
insfratruktur,neutral
kanal,neutral
cabut,neutral
alah,neutral
kpk,neutral
key,neutral
hti,neutral
patut,neutral
which,neutral
sawitbaik,neutral
sandi,neutral
aside,neutral
musti,neutral
arab,neutral
lhn,neutral
perang,neutral
f,neutral
saat,neutral
lhkpn,neutral
izin,neutral
research,neutral
mulyani,neutral
tahi,neutral
panda,neutral
pegang,neutral
pp,neutral
stafsunya,neutral
menggeneralisir,neutral
diobatin,neutral
minun,neutral
bug,neutral
khianat,neutral
dar,neutral
adawaorew,neutral
devkit,neutral
herder,neutral
mangkrak,neutral
komentar,neutral
walkot,neutral
property,neutral
kupret,neutral
yellow,neutral
circle,neutral
konsekwen,neutral
yakin,neutral
dermawan,neutral
gadai,neutral
airports,neutral
polripresisi,neutral
kapitalis,neutral
keris,neutral
respek,neutral
dikhianatin,neutral
unit,neutral
kantin,neutral
manja,neutral
messi,neutral
yoonhong,neutral
tiiek,neutral
er,neutral
won,neutral
dynamite,neutral
sita,neutral
kere,neutral
rancang,neutral
persis,neutral
alus,neutral
pembihoooong,neutral
mendag,neutral
pangab,neutral
dol,neutral
tenang,neutral
kriteria,neutral
polwan,neutral
ndro,neutral
ojek,neutral
tim,neutral
gejolak,neutral
puluh,neutral
banteng,neutral
moment,neutral
surat,neutral
sampurna,neutral
benda,neutral
palideun,neutral
hbisi,neutral
lie,neutral
kereta,neutral
lomba,neutral
system,neutral
prasasti,neutral
manchester,neutral
cucu,neutral
sumbangsih,neutral
projek,neutral
shrsnya,neutral
stres,neutral
tau,neutral
bayarin,neutral
karya,neutral
hgb,neutral
gedabrus,neutral
sudaryono,neutral
stabil,neutral
free,neutral
nyuruh,neutral
tag,neutral
adilioligarki,neutral
posisi,neutral
realita,neutral
formalitas,neutral
thing,neutral
earth,neutral
evaluasi,neutral
carik,neutral
tangkap,neutral
luar,neutral
mul,neutral
resmi,neutral
urut,neutral
ketiak,neutral
makna,neutral
exactly,neutral
fadhil,neutral
provos,neutral
imbas,neutral
malak,neutral
nye,neutral
sunni,neutral
sjamsoeddin,neutral
pusat,neutral
haloo,neutral
krian,neutral
covering,neutral
relasi,neutral
sodor,neutral
natives,neutral
contoh,neutral
beda,neutral
us,neutral
malaikat,neutral
miss,neutral
cutting,neutral
diktator,neutral
marwah,neutral
antisains,neutral
tampar,neutral
batang,neutral
fan,neutral
parpol,neutral
stoppenjajahlokal,neutral
jejak,neutral
kemenlu,neutral
showrun,neutral
juta,neutral
meng,neutral
macanompong,neutral
sman,neutral
harum,neutral
sesuai,neutral
imigran,neutral
critical,neutral
value,neutral
kilometer,neutral
doktor,neutral
blass,neutral
kecut,neutral
rame,neutral
alih,neutral
were,neutral
gugatpailitagungsedayu,neutral
raup,neutral
mayoritas,neutral
selasa,neutral
hibur,neutral
edar,neutral
dzalim,neutral
dilakuin,neutral
dosa,neutral
jamu,neutral
dakocan,neutral
refund,neutral
caatsa,neutral
authorities,neutral
pamor,neutral
sosialisasi,neutral
ejek,neutral
bharat,neutral
sih,neutral
viral,neutral
kredibel,neutral
swaktu,neutral
hamlir,neutral
dikte,neutral
antipeluru,neutral
sembarang,neutral
telepon,neutral
shah,neutral
belanda,neutral
kur,neutral
auto,neutral
ngajakpekok,neutral
neng,neutral
erspo,neutral
argentina,neutral
hias,neutral
kualitas,neutral
nglobi,neutral
bangkit,neutral
ingkar,neutral
but,neutral
remote,neutral
profil,neutral
gambar,neutral
serba,neutral
pesta,neutral
penuhigiziindonesia,neutral
kelapa,neutral
sustainable,neutral
sederhana,neutral
mampoosss,neutral
gapapa,neutral
hawa,neutral
lingkung,neutral
buleleng,neutral
prodeo,neutral
february,neutral
nyabutnya,neutral
joko,neutral
rkyat,neutral
pura,neutral
dewas,neutral
lumbung,neutral
islam,neutral
nik,neutral
sibuk,neutral
dipatwal,neutral
hantar,neutral
report,neutral
fading,neutral
botak,neutral
paloh,neutral
kajari,neutral
pudar,neutral
jatah,neutral
arifin,neutral
pertiwi,neutral
woosd,neutral
komeng,neutral
cateringnya,neutral
naudzubillah,neutral
cukai,neutral
kurnag,neutral
santai,neutral
look,neutral
wall,neutral
kelihatang,neutral
uwais,neutral
kompeten,neutral
guoblok,neutral
protokoler,neutral
famous,neutral
line,neutral
blink,neutral
pedeipe,neutral
otoritas,neutral
manfaatin,neutral
los,neutral
common,neutral
lewat,neutral
moeloek,neutral
teddy,neutral
night,neutral
nations,neutral
daerah,neutral
tcinta,neutral
bareskrim,neutral
soale,neutral
bpr,neutral
paak,neutral
semat,neutral
rupiah,neutral
status,neutral
lalakon,neutral
didik,neutral
dad,neutral
langsung,neutral
cuannnnyyyaaaaa,neutral
aset,neutral
maya,neutral
dibudidayakan,neutral
buang,neutral
khawatir,neutral
way,neutral
senin,neutral
deklasifikasi,neutral
adakan,neutral
zulhas,neutral
relokasi,neutral
sodara,neutral
skrining,neutral
thanked,neutral
angkut,neutral
ide,neutral
kumandang,neutral
hidayat,neutral
gus,neutral
rakat,neutral
dignity,neutral
sensor,neutral
autopilot,neutral
lang,neutral
konten,neutral
sahabat,neutral
sicc,neutral
a,neutral
mencerdasakan,neutral
anjak,neutral
vonis,neutral
partisipan,neutral
juluk,neutral
jandul,neutral
endonesa,neutral
guard,neutral
goreng,neutral
gadang,neutral
ngutang,neutral
batal,neutral
janda,neutral
mobil,neutral
pms,neutral
cainis,neutral
ngelantur,neutral
komplet,neutral
dah,neutral
homs,neutral
nongkrong,neutral
insan,neutral
taruna,neutral
keju,neutral
becus,neutral
waskitakarya,neutral
trilyun,neutral
sudibyo,neutral
peristiwaisramikraj,neutral
kocag,neutral
agil,neutral
arsjad,neutral
ribet,neutral
mbak,neutral
jari,neutral
highlights,neutral
bisnisny,neutral
mandi,neutral
jadwal,neutral
gagal,neutral
demokrat,neutral
komisianda,neutral
diskusi,neutral
bambu,neutral
umpuk,neutral
expert,neutral
sulistiyanto,neutral
coklat,neutral
soldier,neutral
prank,neutral
besar,neutral
kesatria,neutral
ye,neutral
kanghyuk,neutral
sumbat,neutral
doain,neutral
harvey,neutral
karangria,neutral
hadeh,neutral
saking,neutral
talang,neutral
tambang,neutral
kala,neutral
mumpuni,neutral
tengik,neutral
intelejen,neutral
foe,neutral
isramiraj,neutral
selamat,neutral
munglin,neutral
sekend,neutral
merah,neutral
tituler,neutral
adc,neutral
resonansi,neutral
investor,neutral
hobynya,neutral
engkau,neutral
gelo,neutral
tunduk,neutral
thailand,neutral
basuki,neutral
aktivis,neutral
ngumpet,neutral
ana,neutral
teruk,neutral
acak,neutral
panik,neutral
what,neutral
securitypun,neutral
megawati,neutral
diya,neutral
geram,neutral
bejat,neutral
penjajsh,neutral
hujan,neutral
ketegorinya,neutral
unat,neutral
brilian,neutral
thumbs,neutral
mikirnya,neutral
nyaksiin,neutral
mbah,neutral
runut,neutral
siswono,neutral
cabik,neutral
sara,neutral
omon,neutral
ahmad,neutral
surabaya,neutral
assign,neutral
jumbo,neutral
prajurit,neutral
hingar,neutral
analisa,neutral
goblok,neutral
pandu,neutral
juriq,neutral
servis,neutral
seblmnya,neutral
narendra,neutral
pasir,neutral
figur,neutral
pranata,neutral
menkominfo,neutral
oo,neutral
ledak,neutral
ikut,neutral
jajar,neutral
etika,neutral
ku,neutral
implementasi,neutral
biro,neutral
sumatera,neutral
nasionalis,neutral
soeharto,neutral
prosecution,neutral
trans,neutral
nyi,neutral
pdip,neutral
ketawa,neutral
smooth,neutral
bebas,neutral
serta,neutral
tepung,neutral
embik,neutral
bayak,neutral
revealed,neutral
senajjs,neutral
biru,neutral
prbw,neutral
dark,neutral
sekjen,neutral
fadiyah,neutral
test,neutral
mulyoni,neutral
pnts,neutral
narkoba,neutral
nyawa,neutral
cina,neutral
heritage,neutral
celebrations,neutral
mnjijikkan,neutral
heroik,neutral
pisah,neutral
ketegasanhukumpemerintah,neutral
beriarahan,neutral
bakat,neutral
ro,neutral
disodorin,neutral
influencer,neutral
abuse,neutral
kadohan,neutral
pulih,neutral
ngejukir,neutral
sang,neutral
ocnum,neutral
raksasa,neutral
waras,neutral
sharing,neutral
paperclip,neutral
saksi,neutral
raga,neutral
purn,neutral
leceh,neutral
umkm,neutral
smph,neutral
jorok,neutral
kong,neutral
jambu,neutral
subjugation,neutral
konflik,neutral
welcome,neutral
changed,neutral
sigit,neutral
kayu,neutral
carangtv,neutral
wechat,neutral
nazi,neutral
mlawan,neutral
instruksi,neutral
marut,neutral
bioskop,neutral
persen,neutral
delapan,neutral
ngambang,neutral
tebang,neutral
sogo,neutral
lemah,neutral
owner,neutral
enforcers,neutral
my,neutral
harus,neutral
geber,neutral
bimbing,neutral
pbg,neutral
