"id","slang","formal"
"413","cntiknya","cantiknya"
"414","bat","banget"
"415","ngeliatnya","melihatnya"
"416","sll","selalu"
"417","bet","banget"
"418","njerr","anjir"
"419","bingiiittttzzzz","banget"
"420","k","ke"
"421","klo","kalo"
"422","dooong","dong"
"423","masi","masih"
"424","gni","begini"
"425","hdk","hendak"
"426","jugaa","juga"
"427","mksud","maksud"
"428","aj","saja"
"429","tetep","tetap"
"430","mbakx","mbaknya"
"431","syantik","cantik"
"432","kite","kita"
"433","pa","apa"
"434","mksd","maksud"
"435","bejilbbnya","berjilbabnya"
"436","masio","masih"
"437","yahhh","ya"
"438","makasih","terima kasih"
"439","leh","boleh"
"440","ugaaa","juga"
"441","jerewi","jerawat"
"442","ilang","hilang"
"443","jilbabnyaah","jilbabnya"
"444","yuuuk","yuk"
"445","warnaaa","warna"
"446","punyaaa","punya"
"447","cantiik","cantik"
"448","sukaaak","suka"
"449","kebayanyaa","kebayanya"
"450","mantes","memantas"
"451","merekaaaa","mereka"
"452","jugaaa","juga"
"453","gilaaaa","gila"
"454","tiga2nya","tiga-tiganya"
"455","lucuu","lucu"
"456","emessss","gemas"
"457","ucullllll","lucu"
"458","males","malas"
"459","bangeettt","banget"
"460","gemesshh","gemas"
"461","apaaa","apa"
"462","ampuunn","ampun"
"463","ciuuuummmm","cium"
"464","mbil","sambil"
"465","ngmng","mengomong"
"466","ngemeng","mengomong"
"467","epe","apa"
"468","seehh","sih"
"469","yank","sayang"
"470","ucul","lucu"
"471","yahh","ya"
"472","gw","saya"
"473","ngakak","mengakak"
"474","astagfirrullah","astagfirullah"
"475","suerrr","suer"
"476","mnta","minta"
"477","syg","sayang"
"478","ntik","cantik"
"479","pny","punya"
"480","dapet","dapat"
"481","suru","suruh"
"482","lucuuuu","lucu"
"483","ketawakkkk","ketawa"
"484","kyanya","sepertinya"
"485","bnget","banget"
"486","nakutin","menakutkan"
"487","malingg","maling"
"488","cocokk","cocok"
"489","niihh","nih"
"490","imutttttt","imut"
"491","satuuuuu","satu"
"492","sesekk","sesak"
"493","nafass","nafas"
"494","bgtt","banget"
"495","cintaaaaaaa","cinta"
"496","lucuk","lucu"
"497","ma","sama"
"498","duluu","dulu"
"499","megang","memegang"
"500","kawinin","mengawini"
"501","liatin","perlihatkan"
"502","ny","nya"
"503","bdan","badan"
"504","nyaaa","nya"
"505","gemesin","menggemaskan"
"506","fotoin","memfoto"
"507","ngaku","mengaku"
"508","kaaa","kak"
"509","ganteng2","ganteng-ganteng"
"510","pcarny","pacarnya"
"511","kri","kiri"
"512","knpa","kenapa"
"513","pda","pada"
"514","cmn","cuman"
"515","gara2","gara-gara"
"516","garuk2","garuk-garuk"
"517","tembokk","tembok"
"518","namax","namanya"
"519","kiriii","kiri"
"520","bungkusin","bungkuskan"
"521","atu","satu"
"522","dehhhh","deh"
"523","kakk","kak"
"524","ngegantiin","menggantikan"
"525","alloh","allah"
"526","smpe","sampai"
"527","msh","masih"
"528","trsa","terasa"
"529","khadirannya","kehadirannya"
"530","fikiran","pikiran"
"531","hayalanku","khayalanku"
"532","bru","baru"
"533","nton","menonton"
"534","ngapain","mengapai"
"535","surgaa","surga"
"536","kangenn","kangen"
"537","kgn","kangen"
"538","kakkkkk","kak"
"539","rinduuuuuuuuu","rindu"
"540","ninggalin","meninggalkan"
"541","smg","semoga"
"542","terangkhn","terangkan"
"543","bgtttt","banget"
"544","knp","kenapa"
"545","tuk","untuk"
"546","slama","selama"
"547","orng","orang"
"548","bngunlah","bangunlah"
"549","bngun","bangun"
"550","ea","ya"
"551","qu","ku"
"552","hiri","hari"
"553","teman""""ny","teman-temannya"
"554","aza","saja"
"555","dr","dari"
"556","alm","almarhum"
"557","skrg","sekarang"
"558","sie","sih"
"559","benet","benar"
"560","bangetttt","banget"
"561","tuu","tuh"
"562","skrang","sekarang"
"563","gda","tidak ada"
"564","gantiin","menggantikan"
"565","kta","kita"
"566","kklau","kalau"
"567","acra","acara"
"568","kasian","kasihan"
"569","yaaa ","ya"
"570","bnerr","benar"
"571","emk","emak"
"572","temenn","teman"
"573","pngenn","ingin"
"574","terkenall","terkenal"
"575","ajhh","saja"
"576","sungguh2","sungguh-sungguh"
"577","mnjadi","menjadi"
"578","shbt","sahabat"
"579","bner","benar"
"580","ktny","katanya"
"581","dimusiumin","dimuseumkan"
"582","bntu","bantu"
"583","dlu","dulu"
"584","udh","sudah"
"585","kangem","kangen"
"586","amiiin","amin"
"587","smua","semua"
"588","slmt","selamat"
"589","jln","jalan"
"590","mudh""""an","mudah-mudahan"
"591","tenny","tenang"
"592","sdh","sudah"
"593","tnya","tanya"
"594","blm","belum"
"595","td","tadi"
"596","sblm","sebelum"
"597","bole","boleh"
"598","lahhh","lah"
"599","maap","maaf"
"600","cm","cuma"
"601","kmrn","kemarin"
"602","wkt","waktu"
"603","ama","sama"
"604","ak","aku"
"605","lht","lihat"
"606","biasa2","biasa-biasa"
"607","mnrtkuu","menurutku"
"608","trs","terus"
"609","ikutin","mengikuti"
"610","jdwl","jadwal"
"611","wajiiib","wajib"
"612","aaaammmiiiinnnn","amin"
"613","dtnggu","ditunggu"
"614","jan","jangan"
"615","kunjungin","kunjungi"
"616","lagiiii","lagi"
"617","waktunyaaa","waktunya"
"618","diluangin","diluangkan"
"619","jga","juga"
"620","mimin","admin"
"621","istimewaaa","istimewa"
"622","blom","belum"
"623","nangis","menangis"
"624","ngaku""""","mengaku-ngaku"
"625","diaa","dia"
"626","donkk","dong"
"627","kejawab","terjawab"
"628","yaaaa","ya"
"629","seru2an","seru-seruan"
"630","mohom","mohon"
"631","kebalas","terbalas"
"632","nyempetin","menyempatkan"
"633","wktunya","waktunya"
"634","kaaaa","kak"
"635","ngobrol","mengobrol"
"636","namain","namai"
"637","bls","balas"
"638","ijap","ijab"
"639","kobul","kabul"
"640","co","cowok"
"641","pst","pasti"
"642","inggat","ingat"
"643","brdua","berdua"
"644","masing2","masing-masing"
"645","sanggat","sangat"
"646","siipp","sip"
"647","laa","lah"
"648","dlm","dalam"
"649","hdup","hidup"
"650","hdp","hidup"
"651","kedpan","kedepan"
"652","smoga","semoga"
"653","mndaptkan","mendapatkan"
"654","nutup""""in","menutup-nutupi"
"655","iyah","iya"
"656","sja","saja"
"657","kakkk","kak"
"658","za","saja"
"659","mulut2","mulut-mulut"
"660","peengn","ingin"
"661","tuch","tuh"
"662","muantteepp","mantap"
"663","cpt","cepat"
"664","mrit","merit"
"665","y","ya"
"666","ngapasih","mengapa sih"
"667","ni","nih"
"668","segitunya","sebegitunya"
"669","fto","foto"
"670","pke","pakai"
"671","sisain","menyisakan"
"672","slamt","selamat"
"673","nantiii","nanti"
"674","edaaan","edan"
"675","emg","memang"
"676","tunggu2","tunggu-tunggu"
"677","sehat2","sehat-sehat"
"678","ciyeeeeeee","cie"
"679","pantes","pantas"
"680","lairannya","kelahirannya"
"681","jmnya","jamnya"
"682","ajha","saja"
"683","nyaaaa","nya"
"684","nyari","mencari"
"685","amiien","amien"
"686","terbaikkk","terbaik"
"687","ayahh","ayah"
"688","ae","saja"
"689","ndak","indak"
"690","ngerti","mengerti"
"691","mrekaaaa","mereka"
"692","yaampuuuunnnn","ya ampun"
"693","nyanyiin","menyanyikan"
"694","ahhh","ah"
"695","pgen","ingin"
"696","tempt","tempat"
"697","kh","kah"
"698","bgini","begini"
"699","brani","berani"
"700","km","kamu"
"701","jalan2","jalan-jalan"
"702","asyikkkkk","asyik"
"703","iriiiii","iri"
"704","ngajak","mengajak"
"705","naaaaahh","nah"
"706","kka","kakak"
"707","yak","ya"
"708","ttep","tetap"
"709","sperti","seperti"
"710","jrang","jarang"
"711","msuk","masuk"
"712","gossip2.an","gosip-gosipan"
"713","makkk","mak"
"714","guee","saya"
"715","pengennn","ingin"
"716","gilzz","gila"
"717","nyaru","menyaru"
"718","gilaaa","gila"
"719","jd","jadi"
"720","kebarat2an","kebarat-baratan"
"721","ohh","oh"
"722","mantabs","mantab"
"723","jgan","jangan"
"724","mlu","melulu"
"725","payahh","payah"
"726","ntaf","mantap"
"727","beneran","benaran"
"728","mudah""""n","mudah-mudahan"
"729","gada","tidak ada"
"730","milikin","memiliki"
"731","kamo","kamu"
"732","inih","ini"
"733","sukaaaa","suka"
"734","sukaaaaaa","suka"
"735","kirain","mengira"
"736","mehoonggggg","mahal"
"737","apikkkk","apik"
"738","yach","ya"
"739","kereenn","keren"
"740","ginii","begini"
"741","ayoook","ayo"
"742","yoiii","yoi"
"743","gituuu","begitu"
"744","iyaaa","iya"
"745","pgn","ingin"
"746","liptsk","lipstik"
"747","nyeplak","menjiplak"
"748","cw","cewek"
"749","kmarin","kemarin"
"750","mengncang","mengencang"
"751","tauu","tau"
"752","ksh","kasih"
"753","skrng","sekarang"
"754","mksh","terima kasih"
"755","ank","anak"
"756","skitar","sekitar"
"757","ktmu","ketemu"
"758","tmen","teman"
"759","ats","atas"
"760","donk","dong"
"761","heii","hai"
"762","diputusin","diputuskan"
"763","pcrnya","pacarnya"
"764","mnjual","menjual"
"765","ngadain","mengadakan"
"766","kkak","kakak"
"767","rekomendasiin","rekomendasikan"
"768","sihhh","sih"
"769","cooocok","cocok"
"770","mrip","mirip"
"771","mama.nyy","mamanya"
"772","bosenin","membosankan"
"773","kmu","kamu"
"774","bukn","bukan"
"775","sey","sih"
"776","cantikkk","cantik"
"777","banger","banget"
"778","kaa","kak"
"779","eakyu","waktu"
"780","cntik","cantik"
"781","kakanya","kakaknya"
"782","doeloe","dulu"
"783","cantikkkk","cantik"
"784","bngtt","banget"
"785","iyak","iya"
"786","malh","malah"
"787","mlah","malah"
"788","ngak","tidak"
"789","laki2","laki-laki"
"790","gag","tidak"
"791","fhotonya","fotonya"
"792","bleh","boleh"
"793","brp","berapa"
"794","tnggl","tanggal"
"795","tanteny","tantenya"
"796","ky","kaya"
"797","sklinyaa","sekalinya"
"798","ayoo","ayo"
"799","w","saya"
"800","dramaa","drama"
"801","niiih","nih"
"802","bisaa","bisa"
"803","lha","lah"
"804","dunk","dong"
"805","lihaat","lihat"
"806","yuwkkk","yuk"
"807","nnti","nanti"
"808","editannn","editan"
"809","mw","mau"
"810","thu","itu"
"811","mai","mau"
"812","kamuu","kamu"
"813","pastii","pasti"
"814","bisaaa","bisa"
"815","kejuu","keju"
"816","kereen","keren"
"817","nama.a","namanya"
"818","kmauan","kemauan"
"819","ahhhh","ah"
"820","yuuuuk","yuk"
"821","dmana","dimana"
"822","disiniii","disini"
"823","cobaa","coba"
"824","bayangin","bayangkan"
"825","yaudh","ya sudah"
"826","dl","dulu"
"827","ajaaa","saja"
"828","tuhhh","tuh"
"829","amploppp","amplop"
"830","mo","mau"
"831","sayangg''","sayang-sayang"
"832","nantii","nanti"
"833","aminnnnn","amin"
"834","gakuat","tidak kuat"
"835","yukkkk","yuk"
"836","nged","banget"
"837","nantik","nanti"
"838","ksitu","kesitu"
"839","bangeett","banget"
"840","liad","lihat"
"841","kluarga","keluarga"
"842","biasahhh","biasa"
"843","tutorialx","tutorialnya"
"844","dpke","dipakai"
"845","fhoto","foto"
"846","kerenn","keren"
"847","binggo","banget"
"848","rekomndd","rekomendasi"
"849","bli2n","beli-belikan"
"850","bwt","buat"
"851","wado","waduh"
"852","guaa","saya"
"853","yaakkk","ya"
"854","bangetttttyt","banget"
"855","bangettttt","banget"
"856","bangg","bang"
"857","kangeeeeeeeeennnnnnnn","kangen"
"858","kaliannnnnn","kalian"
"859","rinduuuuuuuuuu","rindu"
"860","kangennnnnmnnnnnnnnnnnnnnnnn","kangen"
"861","kaliannnnnm","kalian"
"862","kangeeeeeeeeeeennnnn","kangen"
"863","kangennnnnnnnnnnnnnnn","kangen"
"864","kangennn","kangen"
"865","kaliannnnnnn","kalian"
"866","th2","tahun-tahun"
"867","smpt","sempat"
"868","blg","bilang"
"869","trserah","terserah"
"870","ad","ada"
"871","cwo","cowok"
"872","prnah","pernah"
"873","wlwpun","walaupun"
"874","trpsah","terpisah"
"875","klw","kalau"
"876","mmg","memang"
"877","prsatukn","persatukan"
"878","g","tidak"
"879","slh","salah"
"880","ngomng","mengomong"
"881","mdh2an","mudah-mudahan"
"882","sm","sama"
"883","skedar","sekadar"
"884","kangeeerrn","kangen"
"885","pulak","pula"
"886","terrrrbaik","terbaik"
"887","jorookknya","joroknya"
"888","ihhhhh","ih"
"889","padahall","padahal"
"890","jorokkkk","jorok"
"891","mualll","mual"
"892","klow","kalau"
"893","muke","muka"
"894","ajh","saja"
"895","taiiii","tahi"
"896","seneeeeeng","senang"
"897","nyesel","menyesal"
"898","besarin","membesarkan"
"899","tanyang","tayang"
"900","ber2","berdua"
"901","jngan","jangan"
"902","ngelarang","melarang"
"903","kerreeen","keren"
"904","pantess","pantas"
"905","bngettt","banget"
"906","baperr","bawa perasaan"
"907","sudh","sudah"
"908","sbr","sabar"
"909","pngen","ingin"
"910","nntn","menonton"
"911","ht","hati"
"912","pemainy","pemainnya"
"913","jg","juga"
"914","aqu","aku"
"915","ngeliat","melihat"
"916","baper","bawa perasaan"
"917","akn","akan"
"918","nyampe","sampai"
"919","kbawa","terbawa"
"920","bradegan","beradegan"
"921","amiiinnnn","amin"
"922","mlm","malam"
"923","nikahin","menikahi"
"924","hadeuh","aduh"
"925","nyambung","menyambung"
"926","liyat","lihat"
"927","krn","karena"
"928","sk","suka"
"929","adengan","adegan"
"930","engga","tidak"
"931","bingit","banget"
"932","dapetin","mendapatkan"
"933","model2","model-model"
"934","sitayngin","ditayangkan"
"935","cocokkk","cocok"
"936","mahhhh","mah"
"937","cocokny","cocoknya"
"938","iniw","ini"
"939","q","ku"
"940","setju","setuju"
"941","bnern","benaran"
"942","pcrn","pacaran"
"943","klian","kalian"
"944","cocokkkk","cocok"
"945","bngett","banget"
"946","abes","habis"
"947","br","baru"
"948","mksdny","maksudnya"
"949","brpa","berapa"
"950","ihh","ih"
"951","kesampean","kesampaian"
"952","beginiiii","begini"
"953","ntr","entar"
"954","beliin","belikan"
"955","kya","kaya"
"956","keq","seperti"
"957","ngerasa","merasa"
"958","sygkuu","sayangku"
"959","ngeselin","mengesalkan"
"960","baju'a","bajunya"
"961","gara''","gara-gara"
"962","teruss","terus"
"963","pokok'a","pokoknya"
"964","bg","bang"
"965","ubur2","ubur-ubur"
"966","kuyy","yuk"
"967","bentarr","bentar"
"968","dureen","duren"
"969","ajibb","ajib"
"970","mahall","mahal"
"971","yukk","yuk"
"972","niiihh","nih"
"973","imuuttt","imut"
"974","imuttzz","imut"
"975","nha","nya"
"976","konten2","konten-konten"
"977","rasain","merasai"
"978","daaaah","deh"
"979","asliiii","asli"
"980","cantiknnnnyaaaaaaa","cantiknya"
"981","yuuk","yuk"
"982","ngelihatnya","melihatnya"
"983","bdn","badan"
"984","na","nya"
"985","ibu2","ibu-ibu"
"986","lau","kau"
"987","cantikk","cantik"
"988","sexxi","seksi"
"989","bulet","bulat"
"990","ituu","itu"
"991","ngocok","mengocok"
"992","nyoba","mencoba"
"993","gn","begini"
"994","yaahhh","ya"
"995","kencqng","kencang"
"996","kra","kira"
"997","diginikan","dibeginikan"
"998","coret""""","coret-coret"
"999","lahh","lah"
"1000","gambarin","gambarkan"
"1001","ngerii","ngeri"
"1002","digambarin","digambarkan"
"1003","klen","kalian"
"1004","bangke","bangkai"
"1005","kog","kok"
"1006","liatnya","lihatnya"
"1007","bedanyaaa","bedanya"
"1008","negri","negeri"
"1009","mbk","mbak"
"1010","pgin","ingin"
"1011","krudungan","kerudungan"
"1012","ajaa","saja"
"1013","maksutku","maksudku"
"1014","kerennnnn","keren"
"1015","njirr","anjir"
"1016","jd'y","jadinya"
"1017","manisnyaaaa","manisnya"
"1018","thun","tahun"
"1019","mbg","mbak"
"1020","bangeet","banget"
"1021","ngaco","mengaco"
"1022","ngomen","mengomentari"
"1023","kaaakk","kak"
"1024","gituh","begitu"
"1025","tenggah","tengah"
"1026","uuuuuaaaaaaaaaappppppppppiiiiiiiiiiiiiiiiiikkkkkkkkkkkkkkkk","apik"
"1027","kocakkkkkkkkkkkkkk","kocak"
"1028","ksukaanmuuu","kesukaanmu"
"1029","bagiii","bagi"
"1030","ayooo","ayo"
"1031","nontonx","menontonnya"
"1032","dpn","depan"
"1033","pi","tapi"
"1034","penasarannnn","penasaran"
"1035","gilakkkkkk","gila"
"1036","mauuu","mau"
"1037","nontoonnn","menonton"
"1038","cepet2","cepat-cepat"
"1039","kepingin","ingin"
"1040","nontonnnn","menonton"
"1041","deeek","dek"
"1042","ntappp","mantap"
"1043","deg2an","deg-degan"
"1044","cyiiin","cinta"
"1045","iyha","iya"
"1046","kureeeen","keren"
"1047","muantaap","mantap"
"1048","pake","pakai"
"1049","ngantri","mengantri"
"1050","bli","beli"
"1051","nraktir","mentraktir"
"1052","nonton","menonton"
"1053","sbnyak","sebanyak"
"1054","penasaraaann","penasaran"
"1055","ayoooo","ayo"
"1056","nii","ini"
"1057","nontonya","menontonnya"
"1058","kl","kalo"
"1059","nunggu","menunggu"
"1060","dpt","dapat"
"1061","qta","kita"
"1062","peen","ingin"
"1063","lw","kalau"
"1064","gga","tidak"
"1065","yaah","ya"
"1066","asikkk","asik"
"1067","gilak","gila"
"1068","mcm","macam"
"1069","ceritax","ceritanya"
"1070","yoooiii","yoi"
"1071","kuy","yuk"
"1072","udahh","sudah"
"1073","tauuuuu","tau"
"1074","sabarrrrr","sabar"
"1075","kqmu","kamu"
"1076","banggain","banggakan"
"1077","thn","tahun"
"1078","pengan","ingin"
"1079","sendeng","senang"
"1080","simpen","simpan"
"1081","gakk","tidak"
"1082","bagiin","membagikan"
"1083","nanggepin","menanggapi"
"1084","kapn","kapan"
"1085","barang2","barang-barang"
"1086","kirimin","mengirimi"
"1087","senengin","senangi"
"1088","ngasih","mengasih"
"1089","ampunnnn","ampun"
"1090","bln","bulan"
"1091","senengg","senang"
"1092","teruzzz","terus"
"1093","mantabb","mantab"
"1094","sumpahh","sumpah"
"1095","diluarann","diluaran"
"1096","trbaik","terbaik"
"1097","dlam","dalam"
"1098","anjirrrr","anjir"
"1099","jendess","janda"
"1100","dh","dah"
"1101","sichh","sih"
"1102","namnya","namanya"
"1103","geh","gih"
"1104","nggak","tidak"
"1105","22nya","dua-duanya"
"1106","aduuhhh","aduh"
"1107","miripp","mirip"
"1108","silauuu","silau"
"1109","waww","wow"
"1110","uga","juga"
"1111","njiirr","anjir"
"1112","bgs","bagus"
"1113","kesinii","kesini"
"1114","gemay","gemas"
"1115","dstu","disitu"
"1116","wiiiihhhh","wih"
"1117","samoga","semoga"
"1118","kereennn","keren"
"1119","wahh","wah"
"1120","nyangkaa","menyangka"
"1121","hasilnyaaa","hasilnya"
"1122","dahhhh","dah"
"1123","mudah2","mudah-mudah"
"1124","jugaakk","juga"
"1125","prnh","pernah"
"1126","diapa2in","diapa-apai"
"1127","yaak","ya"
"1128","lhoo","loh"
"1129","donx","dong"
"1130","gthu","begitu"
"1131","nda","indak"
"1132","maauuu","mau"
"1133","pacarrr","pacar"
"1134","idamann","idaman"
"1135","naturalllll","natural"
"1136","bnyak","banyak"
"1137","berntung","beruntung"
"1138","merka","mereka"
"1139","jln2","jalan-jalan"
"1140","romntis","romantis"
"1141","slamat","selamat"
"1142","ulan","ulang"
"1143","th","tahu"
"1144","mngkin","mungkin"
"1145","klau","kalau"
"1146","diksi","dikasih"
"1147","sipp","sip"
"1148","taun","tahun"
"1149","jugak","juga"
"1150","nungguin","menunggu"
"1151","ngeluarin","mengeluarkan"
"1152","keciill","kecil"
"1153","ughaa","juga"
"1154","tante""""","tante-tante"
"1155","banged","banget"
"1156","abeees","habis"
"1157","kapan2","kapan-kapan"
"1158","adain","mengadakan"
"1159","bsa","bisa"
"1160","bosen2","bosan-bosan"
"1161","sempurnaaaaa","sempurna"
"1162","kaan","kan"
"1163","kece2","kece-kece"
"1164","badaaiii","badai"
"1165","beneraan","benaran"
"1166","cantiiik","cantik"
"1167","kuatttt","kuat"
"1168","cantiiiiiiik","cantik"
"1169","cantiknyaaa","cantiknya"
"1170","bae2","baik-baik"
"1171","bgd","banget"
"1172","mb","mbak"
"1173","catiiiiik","cantik"
"1174","subahanallah","subhanallah"
"1175","jaman2nya","jaman-jamannya"
"1176","padet","padat"
"1177","buktiin","membuktikan"
"1178","cantiq","cantik"
"1179","pasien""""nya","pasien-pasiennya"
"1180","lohh","loh"
"1181","utk","untuk"
"1182","keeeerrrreeeennnnnnnnn","keren"
"1183","woow","wow"
"1184","choker2","choker-choker"
"1185","hadirrr","hadir"
"1186","hadirr","hadir"
"1187","jelashh","jelas"
"1188","sekali2","sekali-kali"
"1189","mbaaa","mbak"
"1190","temen","teman"
"1191","hidupppp","hidup"
"1192","nyebelin","menyebalkan"
"1193","diliatnya","dilihatnya"
"1194","abis2","habis-habis"
"1195","gpp","tidak apa-apa"
"1196","para2","parah-parah"
"1197","bangeeet","banget"
"1198","allahhhhhhh","allah"
"1199","gemesnya","gemasnya"
"1200","ilang2","hilang-hilang"
"1201","kmi","kami"
"1202","ngilangin","menghilangkan"
"1203","tbuh","tubuh"
"1204","itungan","hitungan"
"1205","ledekin","ledeki"
"1206","tmn2","teman-teman"
"1207","repot2","repot-repot"
"1208","oles2","oles-oles"
"1209","ckup","cukup"
"1210","dptkan","dapatkan"
"1211","artis2","artis-artis"
"1212","kalii","kali"
"1213","ninggiin","meninggikan"
"1214","baget","banget"
"1215","dri","dari"
"1216","kira2","kira-kira"
"1217","lgsg","langsung"
"1218","ngk","tidak"
"1219","ahh","ah"
"1220","pas2an","pas-pasan"
"1221","balesin","membalas"
"1222","gausah","tidak usah"
"1223","sukaaa","suka"
"1224","lutuna","lucunya"
"1225","ciapa","siapa"
"1226","gemesss","gemas"
"1227","duhh","duh"
"1228","terharuuu","terharu"
"1229","alamii","alami"
"1230","sampek","sampai"
"1231","ckrng","sekarang"
"1232","ngegemesin","menggemaskan"
"1233","imoet","imut"
"1234","imut2","imut-imut"
"1235","jagain","menjaga"
"1236","yahbh","ya"
"1237","msih","masih"
"1238","macem2","macam-macam"
"1239","neko2","neko-neko"
"1240","sktika","seketika"
"1241","lutu","lucu"
"1242","wowwww","wow"
"1243","massss","mas"
"1244","kesiniii","kesini"
"1245","keren""""","keren-keren"
"1246","jalan""""nya","jalan-jalannya"
"1247","masyaallahhh","masyaallah"
"1248","kerennn","keren"
"1249","ksni","kesini"
"1250","begok","bego"
"1251","bkan","bukan"
"1252","jgk","juga"
"1253","bawak","bawa"
"1254","it","itu"
"1255","nti","nanti"
"1256","pgi","pagi"
"1257","keeeeeren","keren"
"1258","baguusss","bagus"
"1259","mna","mana"
"1260","nahannnn","tahan"
"1261","bagaatt","banget"
"1262","gayannxa","gayanya"
"1263","kereeeen","keren"
"1264","uda","sudah"
"1265","ngekeh","kekeh"
"1266","xlian","kalian"
"1267","b3","bertiga"
"1268","ihhh","ih"
"1269","lcu","lucu"
"1270","pait","pahit"
"1271","koplakkk","koplak"
"1272","kerass","keras"
"1273","yachhh","ya"
"1274","gokil","gila"
"1275","ngelihat","melihat"
"1276","ngelawak","melawak"
"1277","iiihhhhh","ih"
"1278","nyolotinnnn","menyolot"
"1279","beratttttttt","berat"
"1280","cantiikkkk","cantik"
"1281","hijaabbb","hijab"
"1282","sekalii","sekali"
"1283","smnagatin","menyemangati"
"1284","pakek","pakai"
"1285","kanapa","kenapa"
"1286","cans","cantik"
"1287","banhet","banget"
"1288","bgttttttt","banget"
"1289","blng","bilang"
"1290","mngasi","mengasih"
"1291","kmbang","kembang"
"1292","pg","pagi"
"1293","nie","ini"
"1294","pla","pula"
"1295","kw","kau"
"1296","blakon","berlakon"
"1297","sy","saya"
"1298","nmpk","nampak"
"1299","bngtzt","banget"
"1300","lucukkkkk","lucu"
"1301","sbelah","sebelah"
"1302","baek","baik"
"1303","ciusss","serius"
"1304","palinf","paling"
"1305","fav","favorit"
"1306","maak","mak"
"1307","ngakaaaakkk","mengakak"
"1308","gokill","gila"
"1309","kocakkkkkk","kocak"
"1310","ngekek","mengekek"
"1311","capee","cape"
"1312","pegangin","memegang"
"1313","nyender","menyandar"
"1314","bener","benar"
"1315","manjain","memanjakan"
"1316","peleotin","meleot"
"1317","bng","bang"
"1318","termurahhhh","termurah"
"1319","nyatakan","menyatakan"
"1320","graaatiiiis","gratis"
"1321","meriahh","meriah"
"1322","cantikkkm","cantik"
"1323","parahh","parah"
"1324","bingits","banget"
"1325","yuppss","ya"
"1326","nyindir","menyindir"
"1327","onoh","sono"
"1328","bnyk","banyak"
"1329","anakny","anaknya"
"1330","staf2nya","staf-stafnya"
"1331","begete","banget"
"1332","aduhh","aduh"
"1333","manteppp","mantap"
"1334","hati2","hati-hati"
"1335","jangan2","jangan-jangan"
"1336","kata2nya","kata-katanya"
"1337","ynk","sayang"
"1338","nangis""""","menangis-nangis"
"1339","hati""""","hati-hati"
"1340","jangan""""","jangan-jangan"
"1341","emank","memang"
"1342","cr","cara"
"1343","diemin","diamkan"
"1344","hancurin","menghancurkan"
"1345","ckp","cukup"
"1346","mgkn","mungkin"
"1347","ato","atau"
"1348","diapain","diapakan"
"1349","ms","masih"
"1350","haragain","menghargai"
"1351","cb","coba"
"1352","nyakitin","menyakiti"
"1353","jgn2","jangan-jangan"
"1354","sbaiknya","sebaiknya"
"1355","mngerti","mengerti"
"1356","blajar","belajar"
"1357","fakta2","fakta-fakta"
"1358","spt","seperti"
"1359","mnding","mending"
"1360","nilai2","nilai-nilai"
"1361","buka2","buka-buka"
"1362","nyinyirin","nyinyir"
"1363","pdhl","padahal"
"1364","pd","pada"
"1365","nyerang","menyerang"
"1366","hrs","harus"
"1367","mrk","mereka"
"1368","trima","terima"
"1369","ngomomg","mengomong"
"1370","mang","memang"
"1371","kbetulan","kebetulan"
"1372","orgtuanya","orang tuanya"
"1373","sbelum","sebelum"
"1374","ngamatin","mengamati"
"1375","ngintip","mengintip"
"1376","stelah","setelah"
"1377","sndiri","sendiri"
"1378","ngintilin","mengintil"
"1379","smnjak","semenjak"
"1380","trbukti","terbukti"
"1381","nyambet","menyambat"
"1382","msk","masuk"
"1383","krmh","ke rumah"
"1384","rmh","rumah"
"1385","bo'ong","bohong"
"1386","eloo","lo"
"1387","apa2nya","apa-apanya"
"1388","goblokkk","goblok"
"1389","sesatt","sesat"
"1390","ibliss","iblis"
"1391","elo","lo"
"1392","kbiasaan","kebiasaan"
"1393","hdpnya","hidupnya"
"1394","lbh","lebih"
"1395","byk","banyak"
"1396","anknya","anaknya"
"1397","tdr","tidur"
"1398","sbuah","sebuah"
"1399","anak2nya","anak-anaknya"
"1400","tdnya","tadinya"
"1401","ank2nya","anak-anaknya"
"1402","milih","memilih"
"1403","branjak","beranjak"
"1404","ank2","anak-anak"
"1405","masyarakay","masyarakat"
"1406","mudah2an","mudah-mudahan"
"1407","menegerti","mengerti"
"1408","apa2","apa-apa"
"1409","sok2","sok-sok"
"1410","nasehatin","menasihati"
"1411","ngaca","mengaca"
"1412","ajah","saja"
"1413","kakkkk","kak"
"1414","slamet","selamat"
"1415","ampe","sampai"
"1416","nari","menari"
"1417","ehh","eh"
"1418","mf","maaf"
"1419","ngcpin","mengucapkan"
"1420","woowwww","wow"
"1421","iaa","iya"
"1422","kdg","kadang"
"1423","kebagi","terbagi"
"1424","nerusin","meneruskan"
"1425","indo","indonesia"
"1426","univ","universitas"
"1427","maen","main"
"1428","wihh","wih"
"1429","tetapppp","tetap"
"1430","gantenggg","ganteng"
"1431","jakety","jaketnya"
"1432","nggk","tidak"
"1433","skli","sekali"
"1434","kli","kali"
"1435","ttp","tetap"
"1436","pala","kepala"
"1437","pusingggg","pusing"
"1438","pucing","pusing"
"1439","ihhhh","ih"
"1440","maho","manusia homo"
"1441","gantng","ganteng"
