"id","slang","formal"
"4328","hatiiii","hati"
"4329","sukkaa","suka"
"4330","luuuucuuu","lucu"
"4331","caantiiik","cantik"
"4332","luucuuu","lucu"
"4333","putihh","putih"
"4334","terus""""an","terus-terusan"
"4335","siiih","sih"
"4336","ternyataa","ternyata"
"4337","pollll","pol"
"4338","sekaliiii","sekali"
"4339","peduliin","mempedulikan"
"4340","komntr","komentar"
"4341","smngat","semangat"
"4342","dosax","dosanya"
"4343","pahalax","pahalanya"
"4344","akhirt","akhirat"
"4345","tinggalkn","tinggalkan"
"4346","rumh","rumah"
"4347","mk","maka"
"4348","trhtung","terhitung"
"4349","naaaa","nya"
"4350","ademmm","adem"
"4351","cerdass","cerdas"
"4352","tambahh","tambah"
"4353","polll","pol"
"4354","didengerin","didengarkan"
"4355","mantapppppp","mantap"
"4356","ngerespon","merespons"
"4357","dulurrr","dulur"
"4358","brusaha","berusaha"
"4359","lebh","lebih"
"4360","amin2","amin-amin"
"4361","positippp","positif"
"4362","jauuhhh","jauh"
"4363","brhjb","berhijab"
"4364","mdh2n","mudah-mudahan"
"4365","slmnya","salamnya"
"4366","jlbb","jilbab"
"4367","dempga","semoga"
"4368","selmnya","selamanya"
"4369","tth","teteh"
"4370","otot2","otot-otot"
"4371","lengkeeett","lengket"
"4372","caaannnttiikkk","cantik"
"4373","trusss","terus"
"4374","ademm","adem"
"4375","apalagiii","apalagi"
"4376","passs","pas"
"4377","beginii","begini"
"4378","satuu","satu"
"4379","cuantek","cantik"
"4380","akuuuur","akur"
"4381","iniehh","ini"
"4382","sayangx","sayangnya"
"4383","jodohx","jodohnya"
"4384","kaliaan","kalian"
"4385","haslnya","hasilnya"
"4386","kencng","kencang"
"4387","pmbantu","pembantu"
"4388","kmbl","kembali"
"4389","cuchook","cocok"
"4390","kloop","klop"
"4391","sempurnaa","sempurna"
"4392","klihatan","kelihatan"
"4393","cintax","cintanya"
"4394","pnuh","penuh"
"4395","ngrti","mengerti"
"4396","mudah""""an","mudah-mudahan"
"4397","segala""""ny","segala-galanya"
"4398","mantanny","mantannya"
"4399","jodohny","jodohnya"
"4400","cantk","cantik"
"4401","ituuu","itu"
"4402","kaasian","kasihan"
"4403","padhl","padahal"
"4404","ank""""","anak-anak"
"4405","pkrin","pikirkan"
"4406","anakx","anaknya"
"4407","sia2kan","sia-siakan"
"4408","naaahhh","nah"
"4409","beluumm","belum"
"4410","sayangggq","sayangku"
"4411","kreean","keren"
"4412","ciiieee","cie"
"4413","cieee","cie"
"4414","cieeee","cie"
"4415","berenanh","berenang"
"4416","pacarr","pacar"
"4417","bingitss","banget"
"4418","besokkk","besok"
"4419","annnnjjjjjjrrrr","anjir"
"4420","ngeliatin","melihati"
"4421","ngumbar2","mengumbar-umbar"
"4422","romantiss","romantis"
"4423","cocook","cocok"
"4424","lucuuuuuuuu","lucu"
"4425","kaaaaaann","kan"
"4426","nyaaaaaaa","nya"
"4427","lgs","langsung"
"4428","yaang","yang"
"4429","bangedt","banget"
"4430","gde","gede"
"4431","lutunaaa","lucunya"
"4432","bikinnn","bikin"
"4433","keee","ke"
"4434","bungkuuussss","bungkus"
"4435","lucux","lucunya"
"4436","bntr","bentar"
"4437","buanyaaak","banyak"
"4438","aaamiiinnn","amin"
"4439","aaamiiin","amin"
"4440","ntap","mantap"
"4441","abgnyaah","abangnya"
"4442","mungkiin","mungkin"
"4443","akuhh","aku"
"4444","manteb","mantap"
"4445","hiduupppp","hidup"
"4446","tebel","tebal"
"4447","nganggepin","menanggapi"
"4448","mentang""""","mentang-mentang"
"4449","najiss","najis"
"4450","perjabatt","pejabat"
"4451","makany","makanya"
"4452","benneeeeeerr","benar"
"4453","krjaan","pekerjaan"
"4454","kdng","kadang"
"4455","kdang","kadang"
"4456","knan","kanan"
"4457","anak'y","anaknya"
"4458","trknal","terkenal"
"4459","gtu""""","begitu-gitu"
"4460","klok","kalo"
"4461","aamiiiinnnnn","amin"
"4462","pengennnn","ingin"
"4463","guw","saya"
"4464","siiiiiiippppppppp","sip"
"4465","selaloe","selalu"
"4466","donggg","dong"
"4467","beruntungnyaaaa","beruntungnya"
"4468","soal'y","soalnya"
"4469","prhatian","perhatian"
"4470","hebaat","hebat"
"4471","ampunn","ampun"
"4472","gueeeee","saya"
"4473","liatt","lihat"
"4474","gehh","gih"
"4475","ankknyaaa","anaknya"
"4476","centilnyaaaaaa","centilnya"
"4477","gemesshzzzzhzzhzhzhsjssjs","gemas"
"4478","ngacaaa","mengaca"
"4479","diaaa","dia"
"4480","jirr","anjir"
"4481","kayaa","kaya"
"4482","cempreeng","cempreng"
"4483","centillll","centil"
"4484","pcran","pacaran"
"4485","anedh","banget"
"4486","ampyunnnn","ampun"
"4487","boro2","boro-boro"
"4488","nyta","nyata"
"4489","kampungn","kampungan"
"4490","j","saja"
"4491","mnghina","menghina"
"4492","ngolokin","mengolok"
"4493","blum","belum"
"4494","syirik""""","syirik-syirik"
"4495","than","tahan"
"4496","dsr","dasar"
"4497","siriik","sirik"
"4498","mampuuu","mampu"
"4499","khan","kan"
"4500","aduuhh","aduh"
"4501","cemburuu","cemburu"
"4502","bingitzzzz","banget"
"4503","tlog","tolong"
"4504","apasihhh","apasih"
"4505","sirikk","sirik"
"4506","dbnding","dibanding"
"4507","nrka","neraka"
"4508","s3ndiri","sendiri"
"4509","bhgiain","membahagiakan"
"4510","kdua","kedua"
"4511","prcya","percaya"
"4512","bhagaia","bahagia"
"4513","cuco","cocok"
"4514","genittt","genit"
"4515","kx","kak"
"4516","mlikk","milik"
"4517","mentah""""","mentah-mentah"
"4518","canci","cantik"
"4519","aneed","banget"
"4520","gimanaa","bagaimana"
"4521","lainnn","lain"
"4522","pentingg","penting"
"4523","bagaimanaaa","bagaimana"
"4524","krudung","kerudung"
"4525","enakkkkk","enak"
"4526","poool","pol"
"4527","jirrrr","anjir"
"4528","oprasiya","operasinya"
"4529","uwee","saya"
"4530","pilihannny","pilihannya"
"4531","itumahh","itumah"
"4532","muuuu","mu"
"4533","uuhhh","uh"
"4534","berbakiti","berbakti"
"4535","alhamd","alhamdulillah"
"4536","slmttt","selamat"
"4537","ucapin","mengucapkan"
"4538","tetp","tetap"
"4539","ditengah2","ditengah-tengah"
"4540","semuanyaa","semuanya"
"4541","semuannyaaa","semuanya"
"4542","aminn2","amin-amin"
"4543","abs","habis"
"4544","kebnyak'an","kebanyakan"
"4545","melahirin","melahirkan"
"4546","aduuuh","aduh"
"4547","cakeep","cakep"
"4548","lhooo","loh"
"4549","kamuuuu","kamu"
"4550","bagi2","bagi-bagi"
"4551","gimn","bagaimana"
"4552","smogaaa","semoga"
"4553","biza","bisa"
"4554","aamien","amien"
"4555","lngsing","langsing"
"4556","wowoooww","wow"
"4557","smulla","semula"
"4558","pdhall","padahal"
"4559","blln","bulan"
"4560","senang2","senang-senang"
"4561","jh","saja"
"4562","kereeennnn","keren"
"4563","gilakkk","gila"
"4564","gtu2","begitu-gitu"
"4565","cpet","cepat"
"4566","gataunya","tidak taunya"
"4567","gtau","tidak tau"
"4568","fans2","fan-fan"
"4569","gaharus","tidak harus"
"4570","enggak","tidak"
"4571","kalo","kalau"
"4572","nego","negosiasi"
"4573","kayak","seperti"
"4574","nyebut","menyebut"
"4575","setau","setahu"
"4576","nyetir","menyetir"
"4577","gua","saya"
"4578","gue","saya"
"4579","gw","saya"
"4580","gx","tidak"
"4581","nyetirnya","menyetirnya"
"4582","gatau","tidak tahu"
"4583","gataw","tidak tahu"
"4584","yg","yang"
"4585","elu","kamu"
"4586","lu","kamu"
"4587","nabrak","menabrak"
"4588","defrnisikan","definisi"
"4589","amananh","amanah"
"4590","tulullll","tolol"
"4591","dosaaaa","dosa"
"4592","teriakin","teriak"
"4593","dharapakan","diharapkan"
"4594","suujon","suudzon"
"4595","clarification","klarifikasi"
"4596","ngeritik","kritik"
"4597","kocakk","kocak"
"4598","skarng","sekarang"
"4599","nabok","tampar"
"4600","gobl","goblok"
"4601","kwitansinya","kwitansi"
"4602","kerjaaa","kerja"
"4603","disuapin","suapin"
"4604","isues","isu"
"4605","waaduuh","waduh"
"4606","yooiii","yoi"
"4607","pengsiun","pensiun"
"4608","sicuriti","security"
"4609","mane","mana"
"4610","bisaaaaa","bisa"
"4611","anyar","baru"
"4612","ortu","orang tua"
"4613","ngerubah","merubah"
"4614","jokowow","jokowi"
"4615","cebonk","cebong"
"4616","kuatir","khawatir"
"4617","wuaduh","waduh"
"4618","mungkiiin","mungkin"
"4619","trimakasih","terima kasih"
"4620","bauuu","bau"
"4621","bangsaaa","bangsa"
"4622","diksh","dikasih"
"4623","berpelukaaaaan","berpelukan"
"4624","buanyakk","banyak"
"4625","anyinggg","anjing"
"4626","kejadiannn","kejadian"
"4627","geblekkk","goblok"
"4628","hrga","harga"
"4629","jdnya","jadinya"
"4630","handeeh","aduh"
"4631","bknkah","bukankah"
"4632","wakandaaaa","wakanda"
"4633","ngejer","kejar"
"4634","hallooooo","halo"
"4635","ngacoooo","ngaco"
"4636","ampunnnnnnn","ampun"
"4637","buanyaakk","banyak"
"4638","hoakssssss","hoax"
"4639","segituu","segitu"
"4640","plissss","please"
"4641","dtanganmu","ditanganmu"
"4642","kebijaakan","kebijakan"
"4643","mmbuat","membuat"
"4644","nma","nama"
"4645","wargaaaa","warga"
"4646","harikerjanyata","hari kerja nyata"
"4647","jagakeamananpilkada","jaga keamanan pilkada"
